第6図　国内総生産（支出側、名目）の増加率に対する寄与度,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
（単位　％）,,,,,,,,,,,
,平成21年度,平成22年度,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度,平成28年度,平成29年度,平成30年度,令和元年度
中央政府,0.1,△ 0.4,-,△ 0.1,0.4,-,△ 0.1,-,-,-,0.1
地方政府,0.1,0.1,-,△ 0.1,0.2,0.4,0.1,-,0.1,0.2,0.3
社会保障基金,0.3,0.3,0.3,0.2,0.2,0.2,0.3,-,0.2,0.1,0.2
公的企業,-,△ 0.1,-,0.1,-,-,0.1,-,-,-,-
企業部門,△ 3.5,1.3,0.7,-,0.6,0.9,1.0,△ 0.1,0.9,0.4,-
家計部門,△ 1.8,0.2,0.2,0.6,2.3,△ 0.4,0.4,△ 0.2,0.8,0.3,△ 0.1
財貨・サービスの純輸出,1.2,0.1,△ 2.1,△ 0.8,△ 1.0,1.0,1.6,1.0,△ 0.1,△ 0.8,-
国内総生産（支出側）の増加率,△ 3.6,1.5,△ 1.0,△ 0.1,2.7,2.1,3.3,0.8,2.0,0.2,0.5
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
