,,平成21年度,平成22年度,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度,平成28年度,平成29年度,平成30年度,令和元年度
2,中央政府,0.1,△ 0.4,0,△ 0.1,0.4,0,△ 0.1,0,0,0,0.1
3,地方政府,0.1,0.1,0,△ 0.1,0.2,0.4,0.1,0,0.1,0.2,0.3
4,社会保障基金,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0,0.2,0.1,0.2
5,公的企業,0,△ 0.1,0,0.1,0,0,0.1,0,0,0,0
6,企業部門,△ 3.5,1.3,0.7,0,0.6,0.9,1.0,△ 0.1,0.9,0.4,0
7,家計部門,△ 1.8,0.2,0.2,0.6,2.3,△ 0.4,0.4,△ 0.2,0.8,0.3,△ 0.1
8,財貨・サービスの純輸出,1.2,0.1,△ 2.1,△ 0.8,△ 1.0,1.0,1.6,1.0,△ 0.1,△ 0.8,0
9,国内総生産（支出側）の増加率,△ 3.6,1.5,△ 1.0,△ 0.1,2.7,2.1,3.3,0.8,2.0,0.2,0.5
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
