Date,Open,High,Low,Close,Adj Close,Volume
2017-05-08,10.500000,11.660000,9.780000,10.380000,9.072854,462600
2017-05-15,10.450000,10.680000,9.580000,10.640000,9.300114,493200
2017-05-22,10.740000,10.740000,9.540000,10.320000,9.020411,391000
2017-05-29,10.050000,10.072000,9.110000,9.640000,8.426042,345200
2017-06-05,9.640000,10.990000,9.320000,10.060000,8.793151,385700
2017-06-12,10.120000,10.770000,9.200000,9.410000,8.225004,461400
2017-06-19,9.500000,9.500000,8.470000,9.280000,8.111376,1437400
2017-06-26,9.460000,9.960000,8.895000,9.470000,8.277452,446000
2017-07-03,9.500000,9.770000,8.880000,9.060000,7.919081,311000
2017-07-10,8.950000,11.330000,8.830000,10.910000,9.536110,519600
2017-07-17,10.870000,11.230000,10.100000,10.270000,8.976706,286700
2017-07-24,10.330000,11.090000,9.681000,9.850000,8.609598,318500
2017-07-31,9.910000,10.500000,9.810000,10.260000,8.967966,301600
2017-08-07,10.750000,12.210000,10.525000,11.850000,10.357738,659000
2017-08-14,12.000000,13.000000,11.913000,12.390000,10.829736,419000
2017-08-21,12.500000,14.043000,11.650000,13.870000,12.123360,430800
2017-08-28,14.160000,14.590000,13.170000,14.000000,12.236991,358800
2017-09-04,14.210000,14.290000,13.300000,13.690000,11.966025,243600
2017-09-11,13.600000,14.140000,12.660000,12.970000,11.336697,264000
2017-09-18,13.000000,13.730000,12.310000,12.560000,10.978329,253100
2017-09-25,12.470000,12.510000,11.460000,11.590000,10.130479,293300
2017-10-02,11.540000,12.230000,11.200000,12.040000,10.523810,282600
2017-10-09,12.000000,12.330000,11.430000,12.140000,10.611219,234900
2017-10-16,12.240000,13.350000,12.200000,13.010000,11.371659,309200
2017-10-23,12.940000,13.320000,11.255000,12.020000,10.506330,358900
2017-10-30,12.050000,12.168000,11.327000,11.530000,10.078034,354700
2017-11-06,11.600000,12.075000,10.901000,11.200000,9.789592,330500
2017-11-13,11.180000,11.225000,9.750000,10.660000,9.317594,519500
2017-11-20,11.270000,11.874000,10.650000,11.390000,9.955665,268800
2017-11-27,11.420000,11.910000,11.070000,11.780000,10.296554,372900
2017-12-04,11.990000,12.210000,11.160000,11.560000,10.104257,430800
2017-12-11,11.660000,13.732000,11.660000,12.880000,11.258031,1203800
2017-12-18,13.320000,13.920000,12.770000,13.300000,11.625139,478800
2017-12-25,13.260000,13.880000,12.960000,13.320000,11.642621,299300
2018-01-01,13.330000,14.340000,12.960000,13.870000,12.123360,331900
2018-01-08,13.960000,14.310000,13.095000,14.260000,12.464248,674600
2018-01-15,14.530000,15.170000,13.410000,13.850000,12.105879,662000
2018-01-22,13.850000,14.630000,13.750000,14.230000,12.438025,369800
2018-01-29,14.190000,14.260000,12.440000,12.590000,11.004550,514700
2018-02-05,12.400000,12.950000,11.650000,12.440000,10.873438,457200
2018-02-12,12.600000,13.600000,12.580000,13.470000,11.773732,302300
2018-02-19,13.400000,14.080000,13.320000,13.480000,11.782474,163100
2018-02-26,13.570000,14.780000,13.058000,14.330000,12.525433,505600
2018-03-05,14.300000,15.190000,14.280000,14.790000,12.927506,523500
2018-03-12,15.450000,16.290001,15.010000,15.350000,13.416986,1338900
2018-03-19,15.370000,15.840000,14.640000,14.670000,12.822618,658300
2018-03-26,14.920000,15.450000,13.680000,14.220000,12.429286,663600
2018-04-02,14.090000,15.000000,13.700000,14.330000,12.525433,562900
2018-04-09,14.340000,15.510000,14.070000,15.500000,13.548096,732400
2018-04-16,15.730000,17.004999,15.400000,16.740000,14.631943,924700
2018-04-23,16.830000,17.250000,16.000000,16.670000,14.570757,509200
2018-04-30,16.650000,17.000000,15.640000,16.549999,14.465869,428300
2018-05-07,16.620001,18.980000,16.580000,18.020000,15.750754,998800
2018-05-14,18.080000,18.249001,17.450001,17.709999,15.479793,893200
2018-05-21,17.830000,19.599001,17.639999,18.240000,15.943050,2266800
2018-05-28,18.139999,18.920000,17.080000,18.770000,16.406307,971000
2018-06-04,18.809999,20.065001,18.570000,19.770000,17.280378,997900
2018-06-11,19.770000,19.860001,16.336000,16.610001,14.518313,2996700
2018-06-18,16.639999,17.500000,16.410000,17.139999,14.981570,2183900
2018-06-25,17.139999,17.139999,15.490000,15.500000,13.548096,1615100
2018-07-02,15.380000,16.315001,14.960000,15.470000,13.521874,938400
2018-07-09,15.550000,16.090000,14.800000,15.080000,13.180984,1277000
2018-07-16,15.040000,15.960000,14.400000,15.020000,13.128541,1045300
2018-07-23,15.030000,15.530000,14.710000,14.730000,12.875059,703500
2018-07-30,14.780000,15.000000,14.270000,14.570000,12.735209,853800
2018-08-06,14.590000,14.990000,13.390000,13.490000,11.791215,1175700
2018-08-13,13.420000,13.480000,12.440000,13.050000,11.406622,1178800
2018-08-20,13.050000,14.390000,13.050000,13.990000,12.228250,1029900
2018-08-27,14.000000,14.530000,13.370000,13.730000,12.000990,883400
2018-09-03,13.660000,13.740000,12.400000,12.480000,10.908401,1035000
2018-09-10,12.600000,13.380000,12.490000,13.130000,11.476549,989700
2018-09-17,13.190000,13.750000,12.764000,13.620000,11.904844,913100
2018-09-24,13.720000,14.110000,13.200000,14.000000,12.236991,654400
2018-10-01,14.250000,15.060000,13.910000,14.430000,12.612840,1121900
2018-10-08,14.390000,14.650000,12.410000,12.910000,11.284252,1081800
2018-10-15,12.910000,12.915000,11.960000,12.170000,10.637439,862000
2018-10-22,12.160000,12.640000,10.690000,10.760000,9.405000,1519800
2018-10-29,10.850000,11.430000,10.290000,11.310000,9.885740,1177800
2018-11-05,11.310000,11.430000,9.870000,10.400000,9.090336,1856800
2018-11-12,10.440000,10.580000,8.600000,8.970000,7.840414,3166800
2018-11-19,8.890000,8.960000,8.180000,8.370000,7.315971,1263100
2018-11-26,8.520000,9.330000,8.110000,8.350000,7.298491,1689900
2018-12-03,8.600000,9.040000,8.050000,8.090000,7.071232,1240400
2018-12-10,8.020000,8.430000,7.830000,8.020000,7.010047,943600
2018-12-17,7.970000,8.520000,7.370000,7.580000,6.625455,1693700
2018-12-24,7.600000,8.010000,7.280000,7.800000,6.817751,868000
2018-12-31,7.800000,8.930000,7.520000,8.810000,7.700563,942400
2019-01-07,8.810000,9.810000,8.670000,8.840000,7.726785,849700
2019-01-14,8.750000,9.030000,8.060000,8.900000,7.779228,714400
2019-01-21,8.680000,8.900000,8.070000,8.230000,7.193602,885700
2019-01-28,8.040000,8.060000,6.830000,7.550000,6.599234,1629700
2019-02-04,7.520000,7.810000,7.160000,7.350000,6.424420,797800
2019-02-11,7.360000,8.340000,7.200000,8.280000,7.237305,782000
2019-02-18,8.290000,8.480000,7.890000,8.410000,7.350935,690700
2019-02-25,8.500000,8.660000,7.940000,8.220000,7.184861,1185700
2019-03-04,8.380000,9.550000,7.690000,7.850000,6.861455,1843000
2019-03-11,7.900000,8.960000,7.830000,8.570000,7.490785,1012000
2019-03-18,8.570000,8.730000,7.750000,7.770000,6.791529,1143400
2019-03-25,7.750000,8.068000,7.080000,7.460000,6.520567,1106700
2019-04-01,7.550000,8.345000,7.540000,8.290000,7.246046,772600
2019-04-08,8.300000,8.970000,8.210000,8.510000,7.438342,809700
2019-04-15,8.570000,8.870000,8.300000,8.670000,7.578194,534100
2019-04-22,8.660000,9.340000,8.380000,8.870000,7.753007,936300
2019-04-29,9.010000,10.658000,8.997000,10.140000,8.863076,1432800
2019-05-06,9.880000,10.035000,8.250000,9.070000,7.927822,1385100
2019-05-13,8.770000,8.940000,8.080000,8.130000,7.106195,845700
2019-05-20,8.050000,8.158000,7.215000,7.430000,6.494345,1063500
2019-05-27,7.430000,7.660000,7.110000,7.230000,6.319531,848100
2019-06-03,7.210000,7.780000,7.200000,7.750000,6.774048,1148000
2019-06-10,7.760000,7.860000,7.040000,7.180000,6.275827,998200
2019-06-17,7.170000,8.290000,7.100000,7.860000,6.870195,897100
2019-06-24,7.820000,8.630000,7.540000,8.440000,7.377155,1282700
2019-07-01,8.700000,9.890000,8.460000,9.870000,8.627078,891600
2019-07-08,9.910000,10.990000,9.830000,10.910000,9.536110,1514700
2019-07-15,10.920000,11.000000,9.840000,10.410000,9.099076,1363200
2019-07-22,10.570000,11.060000,9.680000,9.980000,8.723225,1190600
2019-07-29,10.020000,10.036000,8.870000,9.110000,7.962784,999600
2019-08-05,8.850000,8.881000,7.785000,8.130000,7.106195,1220800
2019-08-12,8.040000,8.370000,7.820000,8.060000,7.045010,976400
2019-08-19,8.250000,8.990000,8.170000,8.550000,7.473303,1159600
2019-08-26,8.680000,9.705000,8.460000,9.560000,8.356116,1650600
2019-09-02,9.750000,10.210000,9.309000,10.010000,8.749447,903200
2019-09-09,10.090000,11.140000,9.900000,10.970000,9.588556,1203100
2019-09-16,10.940000,11.130000,9.410000,9.560000,8.356116,860200
2019-09-23,9.450000,9.820000,9.020000,9.360000,8.181302,750800
2019-09-30,9.490000,9.570000,8.610000,9.420000,8.233746,787600
