日付,消費支出,傾向変動,傾向変動調整分,月,季節変動調整分
2000-01-01,105.62954623367946,107.63941085866321,97.99013537501618,1,5.539775187914316
2000-02-01,99.16188112860553,107.53083379143784,91.63104733716762,2,7.053064181425526
2000-03-01,114.40411878893326,107.42305634962982,106.98106243930337,3,7.116343606066579
2000-04-01,114.38194354725006,107.31607522156831,107.06586832568168,4,9.89764871092386
2000-05-01,105.26962500328317,107.2098870955825,98.0597379077006,5,7.430117505142761
2000-06-01,101.54486671563694,107.10448866000158,94.44037805563529,6,7.189765086955418
2000-07-01,111.38112161116874,106.99987660315475,104.38124500801392,7,12.401255978464377
2000-08-01,105.75645684762014,106.89604761337117,98.8604092342489,8,6.583948285817982
2000-09-01,101.13854805648815,106.79299837898003,94.34554967750805,9,5.993985717079468
2000-10-01,105.4835307961348,106.69072558831054,98.79280520782419,10,6.125016817201853
2000-11-01,101.37292330320118,106.58922592969186,94.78369737350924,11,5.135776867769451
2000-12-01,133.582291269244,106.4884960914532,127.09379517779072,12,18.640155356483717
2001-01-01,105.38766552055057,106.38853276192371,98.99913275862679,1,5.297894474785423
2001-02-01,100.19729433642806,106.28933262943261,93.90796170699538,2,8.088477389248055
2001-03-01,115.96286770047892,106.19089238230907,109.77197531816978,3,8.675092517612242
2001-04-01,108.66175466568163,106.09320870888229,102.56854595679927,4,4.177459829355428
2001-05-01,102.46530982427127,105.99627829748144,96.46903152678976,5,4.6258023261308665
2001-06-01,97.58948591448559,105.9000978364357,91.68938807804982,6,3.234384285804069
2001-07-01,107.20910575665089,105.80466401407428,101.40444174257654,7,8.229240123946525
2001-08-01,103.19129312122229,105.70997351872634,97.48131960249587,8,4.018784559420126
2001-09-01,96.87953702305934,105.6160230387211,91.26351398433818,9,1.7349746836506625
2001-10-01,104.27583301831216,105.5228092623877,98.75302375592439,10,4.917319039379208
2001-11-01,100.61725929815113,105.43032887805536,95.18693042009569,11,4.3801128627194
2001-12-01,122.79625371454321,105.33857857405326,117.45767514048988,12,7.854117801782934
2002-01-01,104.12845295051008,105.24755503871059,98.88089791179942,1,4.038681904744934
2002-02-01,93.3021588032152,105.15725496035651,88.14490384285862,2,1.1933418560352038
2002-03-01,112.71163611215978,105.06767502732023,107.64396108483948,3,5.423860929293099
2002-04-01,109.24820451881077,104.97881192793093,104.26939259087976,4,4.763909682484567
2002-05-01,99.607091750091,104.89066235051781,94.71642939957312,5,1.7675842519505949
2002-06-01,98.74021037906068,104.80322298341004,93.93698739565058,6,4.38510875037916
2002-07-01,107.70310190983936,104.7164905149368,102.9866113949025,7,8.723236277135001
2002-08-01,101.93378633900356,104.63046163342727,97.30332470557622,8,2.7612777772014
2002-09-01,100.78579113494332,104.54513302721067,96.24065810773259,9,5.641228795534644
2002-10-01,104.04930439557933,104.46050138461617,99.58880301096309,10,4.690790416646379
2002-11-01,98.63752195218932,104.37656339397293,94.26095855821632,11,2.4003755167575918
2002-12-01,121.69158552115628,104.29331574361017,117.39826977754605,12,6.749449608396006
2003-01-01,101.91536383052828,104.21075512185706,97.70460870867115,1,1.8255927847631312
2003-02-01,92.32371890864025,104.12887821704278,88.19484069159739,2,0.21490196146024232
2003-03-01,109.80053861550422,104.04768171749654,105.75285689800761,3,2.5127634326375414
2003-04-01,107.48987843211644,103.96716231154751,103.52271612056886,4,3.0055835957902417
2003-05-01,97.97090007143636,103.88731668752487,94.08358338391142,5,0.13139257329595466
2003-06-01,99.52999014054639,103.80814153375782,95.7218486067885,6,5.174888511864864
2003-07-01,103.18105839429157,103.72963353857554,99.45142485571596,7,4.201192761587208
2003-08-01,103.12613202643016,103.6517893903072,99.47434263612288,8,3.953623464627995
2003-09-01,98.15069010785234,103.57460577728202,94.57608433057025,9,3.006127768443662
2003-10-01,102.26334454617209,103.49807938782915,98.76526515834287,10,2.904830567239145
2003-11-01,98.76443256613,103.4222069102778,95.34222565585213,11,2.527286130698272
