Date,Open,High,Low,Close,Volume
2022-01-31,405.67,413.97,404.35,413.69,9200435
2022-01-28,397.82,406.33,393.3,406.26,12096807
2022-01-27,402.93,405.97,394.82,396.54,12455226
2022-01-26,405.66,408.1954,394.34,398.56,14377346
2022-01-25,398.17,404.26,392.7325,399.46,16836326
2022-01-24,397.26,404.88,386.84,404.37,22997836
2022-01-21,409.71,411.9265,402.66,402.69,16225928
2022-01-20,417.17,421.75,410.29,410.76,8907603
2022-01-19,421.17,422.535,415.07,415.33,8184106
2022-01-18,422.62,424.98,417.33,419.74,10697981
2022-01-14,423.945,427.5799,422.81,427.23,9960814
2022-01-13,434.09,434.72,426.09,427.1,7521275
2022-01-12,433.56,435.04,431.14,433.07,8270332
2022-01-11,427.68,431.95,424.78,431.78,7282442
2022-01-10,425.38,428.19,419.77,428.03,10481534
2022-01-07,430.21,431.36,427.2,428.59,6157536
2022-01-06,430.2,432.83,427.9,430.08,7971547
2022-01-05,438.78,439.41,430.525,430.66,7539607
2022-01-04,440.58,441.26,437.22,439.07,6262237
2022-01-03,437.93,439.27,435.64,439.25,6017303
2021-12-31,437.23,438.38,436.39,436.57,5185608
2021-12-30,439.39,440.36,437.32,437.77,3751831
2021-12-29,438.5,439.95,437.54,439.01,4596686
2021-12-28,439.28,440.19,437.655,438.48,4865844
2021-12-27,433.98,438.82,433.95,438.81,4986317
2021-12-23,430.91,434.0963,430.87,432.64,5032684
2021-12-22,425.45,430.09,425.32,429.99,4992213
2021-12-21,421.65,425.85,419.52,425.69,6916663
2021-12-20,419.39,420.22,416.3,419.8,9903413
2021-12-17,425.85,428.79,422.67,424.39,8883451
2021-12-16,434.56,434.8,427.35,428.84,7159519
2021-12-15,426.11,432.98,423.67,432.75,6871253
2021-12-14,425.8,428.24,423.2,426.09,6522926
2021-12-13,432.36,432.66,428.75,429.01,5923878
2021-12-10,431.44,432.96,428.95,432.85,6238301
2021-12-09,430.46,431.32,428.61,428.76,5035427
2021-12-08,430.95,432.14,429.24,431.7,4476542
2021-12-07,426.98,431.1,426.94,430.49,4731920
2021-12-06,419.41,423.66,417.0,421.82,7289493
2021-12-03,422.12,423.19,412.77,416.84,10228931
2021-12-02,414.39,422.06,414.03,420.56,10417672
2021-12-01,424.47,427.2212,413.97,414.24,8370491
2021-11-30,424.8,426.63,418.63,419.06,8657643
2021-11-29,426.71,428.98,424.55,427.24,6300761
2021-11-26,425.19,426.52,420.9,422.14,7702478
2021-11-24,428.56,431.75,427.71,431.53,4569588
2021-11-23,429.56,431.29,427.04,430.47,6801311
2021-11-22,432.93,435.41,429.72,429.91,4875928
2021-11-19,431.87,432.99,430.3798,431.05,4886525
2021-11-18,431.44,432.17,428.8,431.86,4736823
2021-11-17,431.24,431.39,429.84,430.37,3764856
2021-11-16,429.52,432.59,429.4721,431.41,3266998
2021-11-15,430.95,431.005,428.65,429.77,3122286
2021-11-12,427.66,430.17,426.73,429.57,3655495
2021-11-11,427.7,427.82,426.39,426.4,3634631
2021-11-10,428.09,429.73,424.81,426.26,6350658
2021-11-09,431.56,431.75,428.34,429.72,4696024
2021-11-08,431.88,432.34,430.5,431.23,3511610
2021-11-05,431.55,432.76,429.3,430.71,4942933
2021-11-04,427.85,429.37,427.54,429.25,4287284
2021-11-03,424.14,427.66,423.69,427.25,3562910
2021-11-02,423.15,424.96,423.01,424.69,2989214
2021-11-01,423.19,423.57,421.28,423.05,3937315
2021-10-29,419.15,422.515,418.87,422.16,4637741
2021-10-28,418.78,421.44,418.75,421.41,3643561
2021-10-27,419.66,420.29,417.28,417.33,2873514
2021-10-26,420.27,421.5294,418.86,419.15,3085261
2021-10-25,417.64,419.14,415.93,418.75,2511465
2021-10-22,416.58,418.0,414.7,416.59,3648855
2021-10-21,415.38,417.24,414.9449,417.01,2579450
2021-10-20,414.74,416.22,414.65,415.99,3208156
2021-10-19,412.74,414.38,412.14,414.38,2838262
2021-10-18,408.2,411.46,407.53,411.18,3402670
2021-10-15,408.92,410.26,408.275,409.93,3501619
2021-10-14,403.7,406.95,403.22,406.76,3788390
2021-10-13,399.64,400.88,396.75,400.04,6492363
2021-10-12,400.55,400.92,397.87,398.76,6201264
2021-10-11,401.91,404.74,399.56,399.56,3695672
2021-10-08,404.04,404.3881,401.94,402.49,3960919
2021-10-07,403.07,406.05,402.85,403.25,4409195
2021-10-06,394.65,400.02,393.06,399.81,6589951
2021-10-05,395.56,400.3526,394.79,398.04,5523244
2021-10-04,398.12,398.94,391.96,394.21,8820427
2021-10-01,396.2262,400.85,392.77,399.12,8482196
2021-09-30,400.85,401.52,394.34,394.4,9511155
2021-09-29,400.1,401.79,398.86,399.46,4724166
2021-09-28,404.22,404.54,398.02,398.83,8261355
2021-09-27,407.08,408.23,406.26,406.96,3558249
2021-09-24,405.84,408.79,405.62,408.12,3428914
2021-09-23,404.38,408.98,404.14,407.44,4111503
2021-09-22,400.85,404.52,399.95,402.58,6024496
2021-09-21,401.34,402.58,398.13,398.73,6439205
2021-09-20,399.8,401.32,394.27,399.12,10978680
2021-09-17,409.01,409.44,405.44,405.75,5413819
