Date,Open,High,Low,Close,Volume
2022-01-31,222.09,226.95,221.22,226.81,5306436
2022-01-28,217.5,222.17,214.93,222.09,4961209
2022-01-27,220.81,222.4,215.9,216.75,5791524
2022-01-26,222.72,224.16,216.05,218.37,7096416
2022-01-25,219.1,222.015,215.64,219.22,6600378
2022-01-24,217.99,222.57,212.1,222.33,22010122
2022-01-21,224.62,226.09,220.825,220.91,8582608
2022-01-20,229.13,231.91,225.14,225.37,5175143
2022-01-19,231.22,232.16,227.9,228.03,4868091
2022-01-18,232.5,232.7,229.94,230.45,6514691
2022-01-14,233.5,235.13,232.31,235.02,3829926
2022-01-13,239.18,239.4,234.48,234.93,4049253
2022-01-12,239.04,239.85,237.31,238.42,4033137
2022-01-11,235.71,238.11,234.09,238.05,3524791
2022-01-10,234.21,235.84,230.97,235.7,5819550
2022-01-07,237.19,238.07,235.32,236.11,3580217
2022-01-06,237.2,238.7744,235.5423,237.19,4519248
2022-01-05,242.08,242.66,237.2048,237.25,4878333
2022-01-04,243.73,244.058,241.35,242.51,4216978
2022-01-03,242.42,242.97,240.8576,242.97,4204016
2021-12-31,242.09,242.6926,241.44,241.44,3499916
2021-12-30,243.11,243.69,242.0,242.21,4501528
2021-12-29,242.55,243.16,241.71,242.6,3044289
2021-12-28,243.06,243.78,242.042,242.46,3962146
2021-12-27,240.48,242.96,240.34,242.96,4395779
2021-12-23,239.87,241.355,239.5,240.67,2925146
2021-12-22,236.63,239.1,236.5501,239.02,3202945
2021-12-21,234.19,236.84,233.22,236.68,4158836
2021-12-20,232.1,232.35,230.07,232.13,5839757
2021-12-17,235.0,237.16,233.34,235.44,4453956
2021-12-16,240.29,240.4865,235.66,236.52,3876065
2021-12-15,235.56,239.248,233.85,239.2,3720706
2021-12-14,235.45,236.86,234.05,235.57,3360383
2021-12-13,239.5,239.6,237.135,237.35,5839127
2021-12-10,239.42,239.87,237.57,239.53,2610844
2021-12-09,239.52,239.9,237.782,237.91,2853758
2021-12-08,239.57,240.38,238.64,240.2,3417403
2021-12-07,237.56,239.7,237.34,239.17,4284716
2021-12-06,232.61,235.18,230.95,234.16,4210580
2021-12-03,234.83,235.27,229.02,231.19,5821948
2021-12-02,230.21,234.68,230.09,233.9,4257385
2021-12-01,236.41,237.8673,229.88,230.16,5280502
2021-11-30,236.99,237.73,233.1,233.45,7231373
2021-11-29,238.48,239.28,236.52,238.21,4789187
2021-11-26,237.24,238.1,234.94,235.99,5730319
2021-11-24,239.14,241.21,238.6251,241.21,2195423
2021-11-23,240.1,241.1,238.2364,240.4,3827112
2021-11-22,242.34,243.6,240.25,240.32,3903603
2021-11-19,242.09,242.62,241.3302,241.48,3354681
2021-11-18,242.3,242.44,240.52,242.17,3508794
2021-11-17,242.6,242.6,241.43,241.79,2809299
2021-11-16,241.66,243.33,241.41,242.79,2947360
2021-11-15,242.44,242.67,241.14,241.75,3630715
2021-11-12,240.64,242.04,240.212,241.75,2419879
2021-11-11,240.67,240.758,239.955,239.97,2277075
2021-11-10,241.14,241.96,238.73,239.68,3356536
2021-11-09,243.04,243.14,241.19,242.06,2764135
2021-11-08,243.17,243.56,242.43,242.76,3401397
2021-11-05,242.75,243.51,241.39,242.36,3919399
2021-11-04,241.03,241.801,240.53,241.43,3557018
2021-11-03,238.69,240.73,238.295,240.52,3704418
2021-11-02,238.32,238.93,237.91,238.83,4005140
2021-11-01,237.75,238.12,236.72,238.09,3967507
2021-10-29,235.48,237.13,235.37,236.91,3565904
2021-10-28,234.94,236.6,234.7819,236.6,2104898
2021-10-27,236.05,236.08,233.99,234.1,3409633
2021-10-26,236.65,237.19,235.46,235.71,2759904
2021-10-25,235.07,235.96,234.1,235.8,2170066
2021-10-22,234.6,235.31,233.315,234.36,2144779
2021-10-21,233.91,234.95,233.6714,234.81,2839751
2021-10-20,233.55,234.349,233.39,234.17,2838391
2021-10-19,232.5,233.28,232.11,233.26,2683112
2021-10-18,230.07,231.66,229.45,231.57,3078252
2021-10-15,230.69,231.16,230.27,230.73,2718071
2021-10-14,227.71,229.43,227.5,229.37,2689701
2021-10-13,225.17,226.03,223.65,225.62,3179840
2021-10-12,225.31,225.7,224.16,224.6,2898446
2021-10-11,226.07,227.59,224.68,224.76,2354945
2021-10-08,227.4,227.5516,226.02,226.39,1922568
2021-10-07,226.5,228.36,226.11,226.89,3081323
2021-10-06,221.89,224.81,220.98,224.73,3076020
2021-10-05,222.43,224.985,222.1,223.8,3568211
2021-10-04,224.24,224.4,220.5417,221.73,4983982
2021-10-01,223.1,225.63,221.02,225.12,5148618
2021-09-30,225.35,228.4,221.94,222.06,5084013
2021-09-29,225.22,225.99,224.28,224.49,4585452
2021-09-28,227.65,227.79,224.05,224.34,5078645
2021-09-27,229.16,229.87,228.51,229.14,2856698
2021-09-24,228.55,229.945,228.1921,229.64,3122838
2021-09-23,227.73,230.22,227.34,229.37,3790003
2021-09-22,225.62,227.72,225.12,226.61,4200463
2021-09-21,225.8,226.32,223.76,224.35,4578721
2021-09-20,224.8,225.6,221.61,224.37,7773603
2021-09-17,229.82,230.11,227.93,228.32,3087849
2021-09-16,230.22,230.8,228.58,230.17,2545138
2021-09-15,228.7,230.62,228.0,230.38,2607029
2021-09-14,230.69,230.77,227.9,228.49,3168791
2021-09-13,230.79,231.01,228.61,229.88,3323125
2021-09-10,232.3,232.46,229.24,229.36,3396255
2021-09-09,231.94,232.92,231.02,231.19,3276150
2021-09-08,232.28,232.53,230.87,232.0,3037061
2021-09-07,233.56,233.57,232.29,232.55,3268621
2021-09-03,233.27,233.77,232.9,233.56,2492108
2021-09-02,233.58,233.92,232.95,233.64,3285369
2021-09-01,233.09,233.48,232.52,232.85,3544214
2021-08-31,232.83,232.9,232.04,232.44,3109147
2021-08-30,232.49,233.23,232.07,232.88,3204000
2021-08-27,230.08,232.21,229.95,232.0,3761536
2021-08-26,230.9,231.06,229.44,229.53,3362473
2021-08-25,230.67,231.29,230.26,231.07,2906073
2021-08-24,230.14,230.69,229.95,230.42,2781326
2021-08-23,228.35,230.02,228.06,229.6,3190560
2021-08-20,225.61,227.47,225.31,227.4,2663465
2021-08-19,224.02,226.11,223.7,225.37,3976985
2021-08-18,227.4,228.11,225.35,225.54,3204114
2021-08-17,228.0,228.32,226.07,227.81,3746873
2021-08-16,228.76,229.52,227.57,229.52,3205447
2021-08-13,229.51,229.53,229.04,229.43,2523864
2021-08-12,228.63,229.3,228.05,229.3,2755796
2021-08-11,228.72,228.77,227.7,228.66,3061007
2021-08-10,228.28,228.59,227.79,228.21,2955921
2021-08-09,228.14,228.32,227.31,228.06,3305799
2021-08-06,228.21,228.59,227.68,228.15,2350711
2021-08-05,226.81,227.88,226.53,227.87,2469661
2021-08-04,226.48,226.98,226.04,226.26,3385093
2021-08-03,226.12,227.29,224.58,227.28,3255578
2021-08-02,227.14,227.39,225.48,225.66,3569277
