Date,Open,High,Low,Close,Adj Close,Volume
2023-02-13,81.250000,84.019997,79.885002,82.239998,82.239998,5301300
2023-02-14,81.000000,86.464996,80.510002,85.480003,85.480003,4918900
2023-02-15,86.570000,90.010002,86.288002,88.720001,88.720001,8753900
2023-02-16,80.919998,89.510002,80.620003,82.470001,82.470001,15005200
2023-02-17,82.320000,82.680000,79.000000,79.989998,79.989998,5964600
2023-02-21,77.480003,79.580002,77.300003,78.519997,78.519997,4109800
2023-02-22,79.230003,80.889999,78.339996,79.959999,79.959999,3392800
2023-02-23,81.169998,81.500000,77.199997,78.699997,78.699997,3277500
2023-02-24,75.589996,77.245003,75.309998,76.669998,76.669998,3667800
2023-02-27,77.750000,78.800003,76.589996,77.599998,77.599998,3210700
2023-02-28,77.589996,78.010002,76.169998,76.519997,76.519997,3640600
2023-03-01,76.839996,77.300003,74.790001,75.220001,75.220001,2880300
2023-03-02,72.995003,75.070000,72.889999,74.099998,74.099998,5383700
2023-03-03,74.279999,77.339996,74.279999,76.980003,76.980003,4689000
2023-03-06,77.410004,78.180000,76.389999,76.580002,76.580002,3680400
2023-03-07,76.580002,77.389999,74.370003,74.820000,74.820000,3326000
2023-03-08,74.540001,75.220001,70.989998,71.980003,71.980003,7343800
2023-03-09,71.029999,74.519997,69.860001,69.910004,69.910004,5495600
2023-03-10,69.250000,69.900002,63.930000,65.139999,65.139999,12585600
2023-03-13,65.239998,67.570000,62.990002,66.239998,66.239998,7981300
2023-03-14,67.570000,68.349998,64.500000,65.959999,65.959999,6524000
2023-03-15,65.230003,68.220001,64.519997,67.540001,67.540001,8149800
2023-03-16,67.919998,69.750000,67.220001,69.209999,69.209999,5677900
2023-03-17,69.209999,69.959999,67.849998,68.620003,68.620003,4744600
2023-03-20,67.629997,67.690002,64.745003,66.209999,66.209999,7059500
2023-03-21,67.169998,69.959999,67.010002,69.669998,69.669998,4167900
2023-03-22,69.820000,70.019997,66.129997,66.190002,66.190002,4435000
2023-03-23,68.080002,69.544998,66.428001,67.440002,67.440002,3668800
2023-03-24,67.000000,67.250000,63.540001,65.239998,65.239998,6145300
2023-03-27,65.745003,67.199997,65.339996,65.599998,65.599998,3825200
2023-03-28,65.599998,67.889999,65.339996,67.730003,67.730003,4521100
2023-03-29,68.980003,69.000000,66.959999,68.099998,68.099998,3515500
2023-03-30,68.980003,69.779999,67.570000,67.910004,67.910004,2945700
2023-03-31,68.239998,73.300003,68.199997,72.660004,72.660004,6681500
2023-04-03,71.614998,72.160004,69.878998,70.669998,70.669998,3624600
2023-04-04,70.699997,71.290001,68.879997,69.320000,69.320000,3737500
2023-04-05,68.830002,69.089996,64.680000,66.110001,66.110001,5246400
2023-04-06,65.589996,66.379997,63.680000,65.830002,65.830002,4053600
2023-04-10,64.949997,66.199997,62.810001,66.139999,66.139999,4889400
2023-04-11,64.760002,66.154999,63.955002,64.849998,64.849998,5628900
2023-04-12,67.224998,68.790001,65.919998,66.839996,66.839996,5983000
2023-04-13,67.589996,69.809998,67.419998,68.080002,68.080002,4113300
2023-04-14,67.410004,68.970001,66.089996,67.320000,67.320000,3243300
2023-04-17,67.379997,69.849998,67.059998,69.839996,69.839996,3910500
2023-04-18,70.809998,71.449997,68.877998,70.000000,70.000000,3038300
2023-04-19,69.070000,70.815002,69.004997,69.555000,69.555000,2940800
2023-04-20,68.230003,68.580002,67.000000,67.480003,67.480003,3604200
2023-04-21,68.389999,69.760002,67.044998,67.279999,67.279999,3481000
2023-04-24,66.980003,67.254997,64.930000,65.709999,65.709999,3305300
2023-04-25,65.099998,65.400002,62.597000,62.689999,62.689999,5090900
2023-04-26,67.699997,72.669998,67.699997,69.269997,69.269997,12055800
2023-04-27,71.160004,71.349998,69.050003,70.209999,70.209999,6044500
2023-04-28,68.639999,68.970001,65.900002,67.379997,67.379997,6430100
2023-05-01,66.779999,66.779999,65.168999,65.400002,65.400002,4913200
2023-05-02,65.000000,65.870003,63.930000,64.040001,64.040001,3667300
2023-05-03,63.674999,67.410004,63.000000,65.839996,65.839996,7780100
2023-05-04,70.430000,77.070000,70.000000,75.400002,75.400002,15351900
2023-05-05,75.809998,79.230003,75.300003,76.570000,76.570000,8547200
2023-05-08,76.809998,78.855003,75.019997,78.540001,78.540001,5361900
2023-05-09,78.169998,81.455002,77.949997,79.589996,79.589996,5418800
2023-05-10,82.415001,86.790001,81.800003,86.000000,86.000000,11311700
2023-05-11,86.449997,86.870003,85.370003,86.650002,86.650002,5051400
2023-05-12,85.980003,88.349998,85.703003,87.250000,87.250000,6540200
2023-05-15,87.930000,89.750000,87.334999,88.500000,88.500000,6413400
2023-05-16,87.879997,88.665001,87.349998,88.070000,88.070000,4394900
2023-05-17,88.504997,91.660004,88.279999,91.279999,91.279999,5085900
2023-05-18,91.260002,94.790001,91.260002,94.540001,94.540001,5672600
2023-05-19,93.680000,94.370003,91.000000,92.089996,92.089996,5624500
2023-05-22,92.199997,94.190002,91.129997,93.870003,93.870003,3807200
2023-05-23,92.989998,94.790001,92.800003,93.070000,93.070000,3398500
2023-05-24,92.730003,94.430000,91.800003,93.440002,93.440002,3465800
2023-05-25,94.849998,97.400002,91.349998,92.410004,92.410004,5408800
2023-05-26,92.879997,95.760002,92.519997,93.160004,93.160004,3922200
2023-05-30,94.930000,95.339996,92.430000,93.690002,93.690002,3435400
2023-05-31,93.089996,95.620003,92.540001,94.910004,94.910004,4830000
2023-06-01,93.000000,96.080002,91.660004,94.989998,94.989998,4204600
2023-06-02,99.989998,103.800003,98.728996,98.769997,98.769997,7891000
2023-06-05,97.629997,100.572998,96.059998,100.349998,100.349998,4180500
2023-06-06,100.059998,103.120003,99.974998,101.849998,101.849998,4747800
2023-06-07,101.680000,102.654999,93.309998,93.589996,93.589996,7638000
2023-06-08,92.730003,96.129997,92.079002,96.019997,96.019997,3861600
2023-06-09,97.029999,98.730003,94.912003,95.629997,95.629997,4057400
2023-06-12,95.080002,97.739998,94.750000,97.699997,97.699997,2859500
2023-06-13,99.739998,100.300003,96.550003,97.750000,97.750000,2700400
2023-06-14,97.230003,98.214996,95.370003,96.279999,96.279999,3305900
2023-06-15,95.260002,99.129997,95.190002,98.190002,98.190002,3717300
2023-06-16,98.629997,98.800003,95.269997,95.750000,95.750000,4529300
2023-06-20,95.599998,97.980003,95.300003,96.680000,96.680000,3210700
2023-06-21,96.320000,97.099998,91.849998,91.940002,91.940002,5481200
2023-06-22,91.660004,96.150002,90.879997,94.500000,94.500000,4383200
2023-06-23,93.000000,95.110001,92.330002,93.669998,93.669998,2920800
2023-06-26,93.099998,96.315002,92.750000,93.339996,93.339996,2825700
2023-06-27,94.059998,96.129997,92.699997,95.690002,95.690002,2570300
2023-06-28,95.690002,100.580002,95.627998,98.150002,98.150002,5266700
2023-06-29,97.955002,98.495003,95.010002,96.449997,96.449997,2717400
2023-06-30,97.919998,100.440002,97.209999,98.379997,98.379997,3302400
2023-07-03,98.099998,99.830002,97.370003,98.290001,98.290001,1586700
2023-07-05,97.199997,98.970001,95.839996,98.279999,98.279999,3039600
2023-07-06,96.580002,97.239998,95.309998,97.080002,97.080002,2111600
2023-07-07,97.500000,101.500000,97.470001,98.019997,98.019997,4972200
2023-07-10,97.650002,102.490997,96.589996,101.449997,101.449997,4050100
2023-07-11,102.025002,106.080002,101.059998,104.980003,104.980003,5187400
2023-07-12,108.214996,108.510002,104.660004,105.445000,105.445000,5492500
2023-07-13,106.500000,109.650002,106.139999,109.190002,109.190002,3932800
2023-07-14,110.000000,111.599998,107.660004,108.529999,108.529999,3305800
2023-07-17,109.410004,113.625000,109.010002,112.769997,112.769997,3532300
2023-07-18,112.669998,115.000000,111.370003,113.820000,113.820000,3358200
2023-07-19,116.000000,117.445999,113.529999,115.220001,115.220001,4032100
2023-07-20,113.000000,114.290001,109.739998,109.900002,109.900002,3811800
2023-07-21,110.870003,111.500000,108.671997,109.870003,109.870003,6914900
2023-07-24,110.220001,111.620003,109.339996,111.489998,111.489998,2986000
2023-07-25,115.790001,118.019997,114.320000,115.300003,115.300003,6384300
2023-07-26,109.580002,112.695000,107.050003,110.639999,110.639999,5720400
2023-07-27,113.150002,113.199997,108.599998,109.459999,109.459999,3327700
2023-07-28,111.110001,113.239998,109.720001,112.190002,112.190002,2852900
2023-07-31,113.434998,116.779999,113.434998,116.720001,116.720001,4030400
2023-08-01,115.000000,115.839996,113.769997,114.949997,114.949997,2189500
2023-08-02,111.809998,112.489998,105.410004,106.830002,106.830002,6044500
2023-08-03,106.220001,107.570000,105.000000,107.099998,107.099998,4359600
2023-08-04,114.794998,115.949997,107.300003,107.529999,107.529999,6321800
2023-08-07,109.220001,110.080002,104.769997,106.300003,106.300003,7678800
2023-08-08,84.379997,89.239998,83.870003,88.040001,88.040001,26640900
2023-08-09,87.949997,88.870003,84.459999,86.760002,86.760002,8504900
2023-08-10,88.830002,92.160004,88.510002,90.720001,90.720001,7251700
2023-08-11,88.730003,90.959999,88.599998,89.440002,89.440002,3170500
2023-08-14,88.089996,90.300003,87.589996,89.779999,89.779999,3215400
2023-08-15,89.370003,89.650002,87.550003,88.519997,88.519997,3108400
2023-08-16,88.860001,92.139999,88.099998,90.599998,90.599998,5264300
2023-08-17,90.050003,91.000000,89.421997,90.290001,90.290001,4189200
2023-08-18,89.400002,94.250000,89.040001,93.629997,93.629997,5407000
2023-08-21,94.989998,96.480003,94.230003,94.690002,94.690002,4747600
2023-08-22,95.470001,95.870003,92.669998,93.690002,93.690002,3214300
2023-08-23,93.690002,95.980003,92.260002,95.440002,95.440002,3048700
2023-08-24,97.349998,97.349998,91.370003,91.849998,91.849998,3788100
2023-08-25,91.699997,94.000000,91.129997,92.599998,92.599998,2761500
2023-08-28,93.250000,93.430000,91.480003,92.540001,92.540001,2289900
2023-08-29,92.309998,95.050003,91.940002,93.809998,93.809998,2345400
2023-08-30,92.709999,94.199997,91.849998,94.160004,94.160004,3966400
2023-08-31,94.660004,98.139999,94.660004,96.480003,96.480003,4390100
2023-09-01,97.730003,98.839996,96.919998,97.730003,97.730003,3247300
2023-09-05,95.599998,98.019997,95.165001,98.000000,98.000000,3334900
2023-09-06,97.160004,98.300003,95.639999,97.660004,97.660004,3263000
2023-09-07,95.669998,96.980003,94.640999,96.680000,96.680000,2473600
2023-09-08,96.650002,99.099998,96.080002,97.660004,97.660004,3620000
2023-09-11,98.190002,102.000000,97.849998,101.879997,101.879997,4035100
2023-09-12,99.919998,101.160004,98.169998,98.220001,98.220001,2843200
2023-09-13,98.050003,99.404999,97.330002,97.480003,97.480003,2226800
2023-09-14,98.029999,98.709999,96.459999,97.510002,97.510002,1932100
2023-09-15,95.959999,96.610001,93.510002,94.550003,94.550003,8094300
2023-09-18,93.800003,95.491997,93.250000,94.500000,94.500000,1860200
2023-09-19,94.000000,94.050003,91.720001,92.889999,92.889999,2117100
2023-09-20,92.889999,94.809998,91.980003,92.050003,92.050003,2935900
2023-09-21,91.000000,91.339996,88.129997,88.419998,88.419998,4259200
2023-09-22,89.099998,89.724998,87.260002,88.760002,88.760002,2487600
2023-09-25,87.839996,88.879997,87.401001,88.839996,88.839996,1666000
2023-09-26,87.930000,88.750000,86.250000,86.570000,86.570000,2835400
2023-09-27,87.059998,88.360001,86.660004,87.830002,87.830002,2256000
2023-09-28,86.904999,90.110001,85.290001,88.959999,88.959999,4128700
2023-09-29,91.839996,93.220001,90.949997,91.089996,91.089996,3797600
2023-10-02,92.540001,93.349998,90.830002,91.839996,91.839996,2538000
2023-10-03,90.620003,91.300003,86.410004,86.970001,86.970001,3573900
2023-10-04,86.839996,88.735001,86.550003,88.529999,88.529999,3254900
2023-10-05,88.750000,89.709999,88.260002,89.540001,89.540001,3625200
2023-10-06,87.580002,94.800003,87.500000,94.430000,94.430000,4428500
2023-10-09,89.260002,91.635002,89.050003,90.730003,90.730003,6148300
2023-10-10,90.730003,93.650002,90.510002,91.629997,91.629997,4392800
2023-10-11,92.370003,92.695000,88.500000,89.440002,89.440002,4182500
2023-10-12,89.410004,90.370003,87.144997,87.980003,87.980003,3124800
2023-10-13,88.660004,88.940002,86.699997,88.059998,88.059998,2887400
2023-10-16,88.349998,91.720001,87.849998,90.519997,90.519997,2965100
2023-10-17,88.480003,91.470001,87.730003,90.410004,90.410004,2495500
2023-10-18,89.739998,90.900002,88.209999,88.290001,88.290001,2755500
2023-10-19,88.570000,89.519997,87.120003,87.750000,87.750000,3383500
2023-10-20,87.839996,89.099998,84.910004,86.080002,86.080002,3767200
2023-10-23,84.849998,86.089996,83.849998,85.680000,85.680000,3016600
2023-10-24,86.269997,88.629997,86.099998,87.860001,87.860001,3660000
2023-10-25,86.099998,86.650002,81.559998,81.589996,81.589996,4427000
2023-10-26,82.029999,83.720001,79.410004,80.720001,80.720001,5160800
2023-10-27,81.800003,82.440002,80.459999,81.680000,81.680000,3633800
2023-10-30,81.160004,81.570000,79.370003,80.410004,80.410004,4016200
2023-10-31,80.779999,82.510002,79.540001,81.470001,81.470001,3289200
2023-11-01,82.019997,82.199997,78.660004,80.099998,80.099998,5032900
2023-11-02,81.800003,83.570000,77.809998,79.239998,79.239998,6804200
2023-11-03,79.470001,83.050003,79.000000,82.040001,82.040001,5742300
2023-11-06,82.830002,82.870003,79.070000,79.550003,79.550003,9905400
2023-11-07,98.989998,104.430000,96.169998,102.199997,102.199997,29134800
2023-11-08,101.699997,103.959999,99.209999,99.989998,99.989998,8377600
2023-11-09,100.489998,102.480003,99.599998,100.230003,100.230003,6947700
2023-11-10,99.849998,103.849998,99.510002,103.650002,103.650002,5086400
2023-11-13,103.489998,105.860001,102.739998,104.250000,104.250000,4727100
2023-11-14,106.589996,109.190002,104.400002,109.019997,109.019997,5824800
2023-11-15,109.989998,112.110001,109.099998,109.440002,109.440002,5196800
2023-11-16,109.190002,110.690002,108.260002,109.120003,109.120003,2477600
2023-11-17,109.070000,110.000000,108.739998,109.540001,109.540001,2294600
2023-11-20,109.519997,112.190002,109.129997,111.769997,111.769997,4091400
2023-11-21,109.720001,112.180000,108.620003,111.930000,111.930000,3508600
2023-11-22,112.945000,113.570000,110.720001,112.129997,112.129997,2506400
2023-11-24,112.139999,113.120003,111.160004,112.870003,112.870003,1304800
2023-11-27,112.639999,114.160004,111.565002,111.919998,111.919998,2878900
2023-11-28,112.260002,114.844002,112.150002,114.239998,114.239998,3620600
2023-11-29,115.180000,117.720001,115.000000,116.650002,116.650002,4193700
2023-11-30,118.190002,120.260002,115.510002,116.570000,116.570000,4798200
2023-12-01,117.290001,118.769997,116.080002,118.620003,118.620003,3584300
2023-12-04,117.400002,118.404999,115.292999,118.180000,118.180000,4501500
2023-12-05,117.720001,118.800003,115.860001,118.070000,118.070000,2703800
2023-12-06,118.000000,118.949997,114.230003,114.309998,114.309998,4064500
2023-12-07,117.080002,117.478996,114.349998,115.000000,115.000000,2870500
2023-12-08,113.279999,114.389999,112.250000,113.830002,113.830002,3126200
2023-12-11,114.820000,115.900002,114.099998,114.730003,114.730003,2689400
2023-12-12,113.459999,115.500000,112.589996,114.660004,114.660004,1939500
2023-12-13,114.720001,117.459999,113.500000,117.230003,117.230003,4162600
2023-12-14,119.010002,120.964996,117.684998,120.650002,120.650002,5620800
2023-12-15,121.589996,123.822998,120.721001,122.599998,122.599998,6433300
2023-12-18,122.440002,124.150002,121.690002,123.269997,123.269997,2550900
2023-12-19,124.449997,124.690002,121.584999,122.410004,122.410004,2753100
2023-12-20,121.669998,123.489998,120.160004,120.620003,120.620003,2606800
2023-12-21,122.750000,123.129997,120.660004,122.480003,122.480003,2426900
2023-12-22,123.209999,123.459999,121.209999,122.489998,122.489998,2201500
2023-12-26,122.849998,123.820000,122.250000,123.559998,123.559998,1142800
2023-12-27,124.000000,124.160004,122.610001,123.599998,123.599998,1400300
2023-12-28,124.000000,124.480003,122.820000,123.279999,123.279999,1506200
2023-12-29,123.000000,123.724998,120.889999,121.379997,121.379997,2193300
2024-01-02,119.224998,119.224998,114.278000,115.080002,115.080002,4431200
2024-01-03,113.760002,114.230003,111.269997,112.419998,112.419998,3666000
2024-01-04,111.644997,113.860001,110.695000,113.019997,113.019997,3675300
2024-01-05,113.019997,117.040001,112.987999,115.989998,115.989998,4539100
2024-01-08,116.610001,119.839996,116.610001,119.250000,119.250000,3002400
2024-01-09,118.459999,121.739998,118.279999,121.180000,121.180000,2560100
2024-01-10,121.750000,121.999001,118.430000,120.190002,120.190002,4219600
2024-01-11,121.455002,121.860001,118.430000,120.879997,120.879997,3001600
2024-01-12,121.000000,123.089996,120.010002,123.000000,123.000000,3664200
2024-01-16,122.760002,124.889999,121.959999,123.790001,123.790001,3105600
2024-01-17,122.809998,126.065002,120.279999,126.029999,126.029999,6172400
2024-01-18,128.210007,128.639999,123.919998,126.919998,126.919998,4072000
2024-01-19,128.050003,130.500000,126.620003,130.309998,130.309998,3929200
2024-01-22,133.399994,136.074997,131.789993,132.979996,132.979996,4908000
2024-01-23,133.000000,133.149994,128.559998,129.009995,129.009995,5797500
2024-01-24,130.494995,130.494995,122.220001,122.580002,122.580002,10499800
2024-01-25,123.610001,123.689003,119.339996,122.190002,122.190002,9432000
2024-01-26,121.459999,124.919998,120.589996,123.949997,123.949997,4501600
2024-01-29,124.779999,128.940002,124.589996,128.869995,128.869995,3609600
2024-01-30,128.360001,129.059998,125.510002,126.830002,126.830002,3371500
2024-01-31,123.290001,127.320000,122.550003,124.440002,124.440002,3983600
2024-02-01,125.669998,127.550003,123.870003,126.900002,126.900002,3222400
2024-02-02,132.014999,135.220001,130.250000,134.309998,134.309998,7691900
2024-02-05,135.139999,137.929993,129.800003,131.139999,131.139999,4089800
2024-02-06,132.080002,132.779999,126.849998,129.179993,129.179993,3693800
2024-02-07,131.300003,132.869995,130.160004,130.619995,130.619995,3696300
2024-02-08,128.080002,133.240005,127.870003,131.449997,131.449997,4361300
2024-02-09,135.809998,137.850006,134.679993,134.910004,134.910004,6672300
